Gender,Career Points
M,7165
M,1276
M,255
M,773
M,58
M,2177
M,18980
M,3316
M,204
M,6224
M,545
M,17387
M,80
M,30
M,2721
M,14214
M,177
M,4578
M,512
M,672
M,5667
M,42
M,49
M,19
M,1
M,189
M,14
M,3
M,71
M,4040
M,153
M,17120
M,2376
M,6602
M,2901
M,61
M,4659
M,6206
M,2662
M,7706
M,813
M,175
M,5490
M,19303
M,66
M,130
M,1308
M,3058
M,502
M,59
M,49
M,1654
M,4515
M,28
M,6923
M,26496
M,532
M,3615
M,3006
M,2031
M,72
M,72
M,373
M,14
M,6
M,305
M,4637
M,10976
M,7897
M,5458
M,44
M,5936
M,486
M,26
M,0
M,18626
M,7775
M,108
M,18
M,120
M,3844
M,4478
M,2222
M,285
M,423
M,4
M,61
M,40
M,636
M,3
M,267
M,6361
M,726
M,11627
M,11064
M,3463
M,716
M,128
M,265
M,4485
M,41
M,151
M,2
M,241
M,0
M,835
M,16053
M,6955
M,80
M,171
M,27463
M,3522
M,790
M,12568
M,3257
M,3207
M,1081
M,51
M,4017
M,33
M,7645
M,15991
M,97
M,13346
M,114
M,538
M,1540
M,21277
M,4684
M,0
M,566
M,6741
M,16247
M,1998
M,5970
M,638
M,4
M,1200
M,1154
M,11587
M,13098
M,8765
M,3681
M,5
M,2943
M,5519
M,30260
M,4373
M,120
M,7811
M,26397
M,2
M,40
M,2
M,11
M,3300
M,99
M,1118
M,15217
M,184
M,2085
M,8695
M,4
M,2215
M,8320
M,2774
M,0
M,13
M,8126
M,8177
M,379
M,1453
M,1623
M,62
M,424
M,1319
M,15
M,8
M,16827
M,2878
M,1472
M,3119
M,37
M,1381
M,15092
M,354
M,611
M,421
M,3747
M,11451
M,3536
M,3027
M,1984
M,15708
M,224
M,0
M,82
M,383
M,68
M,72
M,6
M,3325
M,68
M,647
M,567
M,1369
M,13198
M,19563
M,18135
M,0
M,12781
M,1920
M,2474
M,8312
M,441
M,26
M,5
M,1938
M,716
M,11422
M,18715
M,47
M,7451
M,66
M,4
M,190
M,14769
M,54
M,2308
M,251
M,77
M,7868
M,6256
M,2108
M,609
M,841
M,30
M,19364
M,5067
M,314
M,2782
M,32
M,609
M,24
M,442
M,611
M,1952
M,1659
M,6226
M,3839
M,16265
M,2121
M,4
M,406
M,405
M,975
M,4973
M,9325
M,8914
M,18
M,524
M,1390
M,3744
M,5368
M,11984
M,414
M,715
M,360
M,2963
M,3563
M,2118
M,127
M,0
M,272
M,7628
M,440
M,195
M,2406
M,11972
M,8032
M,0
M,6
M,68
M,40
M,417
M,402
M,51
M,6975
M,4987
M,103
M,1581
M,11899
M,122
M,1814
M,80
M,651
M,2866
M,3860
M,12157
M,239
M,5101
M,156
M,9032
M,3212
M,43
M,531
M,89
M,2583
M,108
M,3
M,798
M,4219
M,527
M,9002
M,3808
M,2114
M,2802
M,158
M,6820
M,6814
M,1581
M,2187
M,4872
M,11
M,186
M,30
M,108
M,301
M,21247
M,2171
M,20
M,3864
M,32
M,6242
M,1817
M,8290
M,15452
M,21606
M,26
M,9431
M,472
M,8667
M,64
M,18522
M,7430
M,18762
M,1367
M,17105
M,60
M,204
M,453
M,1594
M,401
M,4189
M,33
M,847
M,2341
M,4652
M,442
M,88
M,5
M,11846
M,6216
M,1833
M,555
M,83
M,286
M,481
M,1006
M,13976
M,764
M,3781
M,468
M,14223
M,6314
M,2727
M,4719
M,2081
M,3880
M,2583
M,13467
M,5757
M,11722
M,311
M,60
M,733
M,134
M,10953
M,23
M,290
M,2035
M,3193
M,365
M,3449
M,3618
M,203
M,11
M,3385
M,9247
M,6837
M,2903
M,8561
M,4
M,3589
M,2682
M,12558
M,78
M,52
M,17
M,0
M,2615
M,11386
M,142
M,83
M,33
M,173
M,16674
M,16
M,593
M,964
M,1980
M,6223
M,865
M,253
M,714
M,691
M,406
M,26126
M,2934
M,9743
M,8291
M,2
M,11
M,7154
M,5243
M,258
M,17189
M,86
M,878
M,3196
M,84
M,2705
M,37
M,4319
M,162
M,10576
M,22
M,559
M,40
M,1948
M,13
M,4797
M,610
M,8
M,164
M,47
M,6059
M,163
M,123
M,6478
M,3553
M,10468
M,7716
M,220
M,28787
M,54
M,765
M,3615
M,3717
M,8208
M,3398
M,11713
M,334
M,733
M,1336
M,3294
M,5582
M,6774
M,2863
M,32
M,5
M,4631
M,5039
M,561
M,8046
M,149
M,3415
M,1516
M,1635
M,0
M,21317
M,2704
M,13539
M,12535
M,6551
M,389
M,9603
M,0
M,424
M,3247
M,5
M,4632
M,186
M,343
M,8
M,111
M,3548
M,5328
M,13
M,4115
M,14213
M,3946
M,27
M,99
M,20
M,70
M,133
M,11084
M,11599
M,949
M,16652
M,6180
M,12683
M,497
M,1734
M,14091
M,42
M,198
M,643
M,0
M,4785
M,0
M,5317
M,13856
M,10216
M,6282
M,7256
M,4
M,11
M,797
M,54
M,637
M,1955
M,70
M,165
M,12242
M,14353
M,1594
M,219
M,143
M,416
M,7
M,4722
M,158
M,108
M,7895
M,4699
M,497
M,3750
M,4705
M,3571
M,4597
M,153
M,2421
M,0
M,758
M,39
M,6575
M,121
M,5706
M,6812
M,70
M,5047
M,2921
M,8520
M,860
M,1833
M,16039
M,431
M,18
M,11310
M,84
M,4
M,7818
M,0
M,4644
M,4926
M,2239
M,1024
M,10193
M,25
M,5393
M,326
M,52
M,2542
M,2991
M,43
M,2
M,9618
M,1319
M,5559
M,107
M,3561
M,39
M,11659
M,44
M,170
M,3481
M,821
M,3033
M,16
M,7006
M,154
M,50
M,1081
M,192
M,15610
M,2364
M,1342
M,2015
M,378
M,384
M,334
M,8013
M,41
M,55
M,169
M,1208
M,1260
M,47
M,266
M,45
M,2260
M,6808
M,1100
M,2
M,5874
M,5056
M,49
M,15814
M,11446
M,9122
M,1964
M,129
M,4
M,185
M,220
M,15136
M,1953
M,1043
M,42
M,2178
M,910
M,5977
M,7873
M,25
M,1340
M,26
M,4637
M,197
M,3497
M,1905
M,993
M,7
M,217
M,655
M,703
M,3888
M,26
M,8203
M,589
M,16683
M,670
M,3115
M,17
M,167
M,2
M,972
M,51
M,2311
M,0
M,8520
M,439
M,906
M,511
M,11
M,10746
M,5
M,51
M,0
M,15
M,331
M,11890
M,140
M,1409
M,184
M,2368
M,287
M,31
M,1642
M,2
M,1092
M,290
M,9314
M,135
M,2181
M,8214
M,6136
M,4789
M,123
M,200
M,38
M,3080
M,5
M,85
M,3601
M,3741
M,50
M,182
M,199
M,1152
M,2110
M,2323
M,9054
M,88
M,3
M,119
M,1092
M,6209
M,8401
M,7839
M,8315
M,10050
M,2251
M,1190
M,162
M,4752
M,5
M,6492
M,19121
M,214
M,305
M,45
M,7845
M,1235
M,12633
M,54
M,212
M,7322
M,9240
M,2148
M,86
M,7787
M,2
M,166
M,1053
M,2421
M,1028
M,2734
M,2639
M,896
M,44
M,5557
M,438
M,10
M,84
M,125
M,135
M,37
M,8882
M,9149
M,12
