Gender,score
male,0.8647
male,0.86466
male,0.86466
male,0.86456
male,0.86456
male,0.86456
male,0.86456
male,0.86451
male,0.86442
female,0.86437
male,0.86427
male,0.86423
female,0.86418
male,0.86413
male,0.86408
male,0.86403
male,0.86403
male,0.86403
female,0.86399
male,0.86399
male,0.86389
male,0.86384
male,0.86379
male,0.8637
male,0.86365
male,0.86365
male,0.8636
male,0.86356
female,0.86356
male,0.86356
male,0.86351
male,0.86351
male,0.86346
male,0.86346
male,0.86341
female,0.86332
male,0.86327
male,0.86327
female,0.86327
male,0.86313
male,0.86308
male,0.86298
male,0.86293
male,0.86289
male,0.86284
male,0.86279
male,0.86279
female,0.8627
male,0.86265
male,0.8626
male,0.8626
male,0.8626
male,0.86255
male,0.86255
male,0.8625
male,0.8625
male,0.86246
male,0.86231
male,0.86227
male,0.86222
male,0.86222
male,0.86222
male,0.86222
male,0.86217
male,0.86212
male,0.86212
male,0.86212
female,0.86212
male,0.86207
male,0.86207
male,0.86203
male,0.86203
male,0.86203
male,0.86188
male,0.86183
female,0.86183
male,0.86183
male,0.86174
female,0.86174
male,0.86164
male,0.86164
male,0.8616
male,0.8616
male,0.8616
male,0.86155
male,0.86155
male,0.8615
male,0.8615
male,0.86145
male,0.86145
male,0.86145
male,0.86145
male,0.86145
male,0.8614
male,0.86136
male,0.86131
male,0.86126
male,0.86126
male,0.86121
male,0.86117
female,0.86112
male,0.86112
male,0.86112
male,0.86107
male,0.86102
male,0.86097
male,0.86088
male,0.86088
female,0.86083
male,0.86083
male,0.86083
male,0.86078
male,0.86078
male,0.86078
male,0.86078
male,0.86074
male,0.86069
male,0.86064
male,0.86064
male,0.86059
male,0.86059
male,0.86054
male,0.86054
male,0.86054
male,0.86054
male,0.8605
male,0.8605
male,0.8605
male,0.86045
male,0.86045
male,0.8604
male,0.8604
male,0.86031
male,0.86016
male,0.86011
male,0.86011
female,0.85997
male,0.85992
male,0.85987
male,0.85987
male,0.85983
male,0.85983
male,0.85978
male,0.85973
male,0.85973
male,0.85964
male,0.85964
male,0.85964
male,0.85959
male,0.85959
male,0.85954
male,0.85954
male,0.85954
male,0.85954
male,0.85949
male,0.85949
male,0.85949
male,0.85944
male,0.85944
male,0.85944
male,0.8594
male,0.85935
female,0.85935
male,0.85935
male,0.8593
male,0.8593
male,0.8593
male,0.85925
male,0.85925
male,0.85925
female,0.85921
male,0.85916
male,0.85916
male,0.85916
male,0.85911
male,0.85911
male,0.85906
male,0.85906
male,0.85906
male,0.85901
male,0.85897
male,0.85897
male,0.85892
male,0.85887
male,0.85887
male,0.85887
male,0.85887
male,0.85887
female,0.85882
male,0.85878
male,0.85878
male,0.85878
male,0.85878
male,0.85873
female,0.85863
female,0.85863
male,0.85863
male,0.85858
male,0.85858
male,0.85854
male,0.85854
male,0.85854
male,0.85854
male,0.85849
male,0.85849
male,0.85849
male,0.85849
male,0.85849
male,0.85849
male,0.85844
male,0.85844
male,0.85839
male,0.85839
male,0.8583
male,0.8583
male,0.8583
male,0.8583
male,0.8583
male,0.85825
male,0.85825
male,0.85825
male,0.85825
male,0.8582
male,0.85815
male,0.85815
male,0.85811
male,0.85811
male,0.85811
male,0.85806
male,0.85806
male,0.85801
female,0.85801
male,0.85801
male,0.85801
male,0.85796
male,0.85796
male,0.85787
male,0.85787
male,0.85782
male,0.85782
male,0.85782
male,0.85772
male,0.85772
male,0.85772
male,0.85768
male,0.85763
male,0.85763
male,0.85763
male,0.85753
female,0.85753
male,0.85753
male,0.85748
male,0.85744
male,0.85739
male,0.85725
male,0.85725
female,0.85725
male,0.85725
male,0.8572
